season,team,conference,offense.ppa,offense.successRate,offense.explosiveness,offense.powerSuccess,offense.pointsPerOpportunity,offense.fieldPosition.averageStart,offense.standardDowns.successRate,offense.passingDowns.ppa,offense.rushingPlays.ppa,offense.passingPlays.ppa,defense.ppa,defense.successRate,defense.explosiveness,defense.powerSuccess,defense.stuffRate,defense.pointsPerOpportunity,defense.fieldPosition.averageStart,defense.havoc.total,defense.rushingPlays.ppa,defense.passingPlays.ppa
2025,Middle Tennessee,Conference USA,-0.150946762141569,0.288135593220339,1.1054534950857,0,7,66.8,0.4,-0.0962817180885099,0.0580580868338621,-0.235543962917339,0.181845453910011,0.405405405405405,1.19565199374835,1,0.181818181818182,4.85714285714286,67.2,,0.0377228268805163,0.393225306886604
2025,Minnesota,Big Ten,0.223321612101325,0.448717948717949,1.31006157565263,0.833333333333333,2.28571428571429,65.3,0.454545454545455,0.491118639401884,-0.0450169389631924,0.520669736253898,0.0309174066839572,0.27906976744186,1.08921360174441,0.666666666666667,0.272727272727273,3.33333333333333,75.2,0.256,-0.113647199538803,0.182366041774468
2025,Mississippi State,SEC,0.313816381682342,0.453333333333333,1.2065991805573,0.4,5.4,71.8,0.5,0.627796707214825,0.336854003827717,0.309614290897509,0.0475165000993792,0.319444444444444,1.45441372702779,0.6,0.205882352941176,4.25,70.2,0.139,-0.0217528552615423,0.137379188279092
2025,Missouri,SEC,0.55278827044851,0.632352941176471,1.19620951140197,0.9,6,67.6,0.672727272727273,0.5361982958501,0.433843323957034,0.686601335251422,-0.153911569057589,0.39344262295082,0.89483365924572,0.5,0.216216216216216,0,77,0.525,0.154667843604105,-0.6296381635777
2025,Missouri State,Conference USA,-0.0547643653886772,0.314814814814815,1.50823418887851,1,1.2,71.3,0.387096774193548,0.0405744623760863,-0.0346731477155657,-0.0708373395271664,0.826288232288327,0.620689655172414,1.64819980439095,1,0.161290322580645,6.42857142857143,67.9,0.105,0.62965261863293,1.05205504796675
2025,Navy,American Athletic,0.532974287512138,0.608695652173913,1.19025950922157,1,5.42857142857143,66.3,0.685185185185185,0.379787278933757,0.582591753729628,0.338048527371999,0.0108384207499595,0.28,1.59881554876157,0,0.235294117647059,0,77.2,0.2,-0.179544797281986,0.108914623978537
2025,NC State,ACC,0.178019363497217,0.405797101449275,1.40263977671832,0.571428571428571,3.4,70.6,0.5,0.225858295447809,-0.00322625297026082,0.35408653377991,0.1632778075726,0.337837837837838,1.56984194551385,0.4,0.357142857142857,1.66666666666667,73.5,0.162,-0.204379512757437,0.387069219947405
2025,Nebraska,Big Ten,0.15120287348418,0.493506493506494,0.95849399998463,1,4,71.3,0.517857142857143,0.434942500518519,-0.0512035289338902,0.303007675297733,0.192885463471589,0.545454545454545,0.89203426355554,1,0.1,4.25,75.2,0.164,0.622649114677423,-0.165576988453636
2025,Nevada,Mountain West,-0.0612553707749944,0.34,0.985194534327739,0.5,3.33333333333333,73.1,0.34375,0.0870616793043788,-0.0972503472435336,-0.0190003983988832,0.354114184674035,0.563380281690141,0.946968755042638,0.714285714285714,0.142857142857143,5.22222222222222,59.1,,0.313240436470611,0.39385255098292
2025,New Mexico,Mountain West,-0.0516496196756092,0.381578947368421,0.93255723169151,0.4,3.4,70.9,0.428571428571429,0.169272525025346,-0.20846414147697,0.117354279926932,0.384687701994675,0.435483870967742,1.41322736743411,0.833333333333333,0.0689655172413793,4.5,71.2,,0.328635526228463,0.43394567463771
2025,New Mexico State,Conference USA,0.0217757330751908,0.278688524590164,1.50307482238489,1,3.33333333333333,73.6,0.416666666666667,-0.0111597723721984,-0.223332346754561,0.25897710065237,-0.115269762299889,0.238805970149254,1.46493516743045,0,0.212121212121212,1,76.5,,-0.300890106561899,0.0648911600720623
2025,Northern Illinois,Mid-American,0.0465742796996391,0.347222222222222,1.27112140134795,0.8,3.25,69.3,0.431818181818182,0.177107637796811,0.0538168877306813,0.174252477202786,-0.169630022629959,0.296296296296296,1.12623173164046,1,0.304347826086957,2,64,0.241,-0.20844332030596,-0.0573884616423764
2025,North Texas,American Athletic,0.287681693886353,0.479452054794521,1.44855210333359,0.666666666666667,5.625,58.9,0.491525423728814,0.558715783545468,-0.0900424690025406,0.745529164054709,-0.205193334721034,0.283018867924528,0.779210217104715,0.4,0.208333333333333,0,75.4,0.185,-0.184826184471283,-0.222048907341517
2025,Northwestern,Big Ten,-0.129530526134619,0.412698412698413,0.869123158657085,1,0.75,78.4,0.510204081632653,-0.134021300622245,0.0491710773666844,-0.131171732784441,0.159955160212859,0.445945945945946,1.07454934702167,0.75,0.146341463414634,3.2,66.3,0.081,0.261114147501374,0.0342727820665211
2025,Notre Dame,FBS Independents,0.180955003763447,0.448275862068966,1.23943095910107,0.4,7,76.2,0.439024390243902,0.681633945834451,0.17315387892545,0.18729341769432,0.164006007292876,0.5,0.886361320407192,0.714285714285714,0.162162162162162,3,69.1,0.045,-0.0789312791491263,0.453963413691395
2025,Ohio,Mid-American,0.241983863738295,0.392857142857143,1.46797142829562,1,4.8,79.9,0.375,0.407986657357967,0.11740747910907,0.509254128440998,0.327910418301259,0.5,1.18005011407827,1,0.204545454545455,1.3,72.9,0.109,0.121195811740949,0.580561604097193
2025,Ohio State,Big Ten,0.0357210389971789,0.333333333333333,0.927354893379026,0.5,7,80.5,0.425,-0.15134273140403,-0.131085138273643,0.319291540357575,-0.120047791388189,0.417910447761194,0.905699021633149,0.75,0.0571428571428571,2.33333333333333,68,0.375,0.0968198625463714,-0.251105396776211
2025,Oklahoma,SEC,0.479341360563206,0.507246376811594,1.39968649800756,0.6,5.83333333333333,80.7,0.530612244897959,1.13289061047128,0.25357954720082,0.689561321978349,-0.227106401677554,0.217391304347826,0.987700963443405,1,0.208333333333333,1.5,66.8,3.5,-0.0303716441714808,-0.441726137138725
2025,Oklahoma State,Big 12,0.191868955589248,0.386666666666667,1.24373268788922,1,5.4,75.5,0.409090909090909,0.540386317869075,0.0192056503511784,0.400080588376331,0.0450560328205385,0.339285714285714,1.20332615752146,1,0.147058823529412,2.33333333333333,77.4,0.655,0.0349779060498632,0.240894017258238
2025,Old Dominion,Sun Belt,0.302865432122966,0.372093023255814,1.65261862162903,0.666666666666667,0,81.5,0.4,0.218386589966528,0.479526614721671,0.138743279375759,0.101433499981805,0.528089887640449,0.775957533966149,0.538461538461538,0.125,2,70.8,0.133,0.246713109587306,-0.145101595106318
2025,Ole Miss,SEC,0.503912859794602,0.62962962962963,1.2245058311086,0.833333333333333,5.5,68.1,0.646153846153846,0.799885693942407,0.46327596876153,0.684220861725204,-0.0451591537869514,0.224137931034483,1.48787048086652,1,0.147058823529412,0,73,0.172,0.137370073780478,-0.303742226174143
2025,Oregon,Big Ten,0.632998133412989,0.640625,1.19530972553099,0.8,6.55555555555556,59.3,0.641509433962264,1.10302004115347,0.529896201723207,0.793837146849048,0.0813576423018672,0.421052631578947,1.02049029658968,0.5,0.24,3.25,75.4,2,-0.121772881673005,0.240053364157236
2025,Oregon State,Pac-12,0.0909911730543371,0.426229508196721,0.886122349004287,0.75,4,69.5,0.555555555555556,-0.116463062147682,-0.189578423152753,0.313796440630556,0.159743103255321,0.403225806451613,1.33698961239617,0.8,0.21875,4.8,56.8,,0.0238549640300977,0.304690451762227
2025,Penn State,Big Ten,0.354114184674035,0.563380281690141,0.946968755042638,0.714285714285714,5.22222222222222,59.1,0.673076923076923,0.339229702318452,0.313240436470611,0.39385255098292,-0.0612553707749944,0.34,0.985194534327739,0.5,0.222222222222222,3.33333333333333,73.1,,-0.0972503472435336,-0.0190003983988832
2025,Pittsburgh,ACC,0.398833771570756,0.46875,1.51823407156251,0.833333333333333,5.125,57.3,0.520833333333333,0.486170786857099,0.303803319077926,0.571528345634855,-0.0500499171812665,0.145454545454545,1.75377793913052,,0.333333333333333,3.33333333333333,72.5,0.241,-0.23918378880003,0.132329173308256
2025,Purdue,Big Ten,0.396939266086495,0.517241379310345,1.2866061161209,0.6,4.8,72.3,0.536585365853659,0.730591373064337,0.140459973944064,0.653418558228927,-0.0324629835454992,0.313725490196078,1.08011713921365,1,0.1875,0,80.8,0.167,-0.00358582624216007,-0.0810981958458599
2025,Rice,American Athletic,-0.00144098161333806,0.419354838709677,0.854871376144929,0.571428571428571,2.8,66.5,0.488888888888889,-0.000459418673807892,-0.0161883071607028,0.0669329822880801,0.0431910795799465,0.310344827586207,1.27036805900373,0.4,0.172413793103448,3.25,81.1,,0.237991627371409,-0.140251192042048
2025,Rutgers,Big Ten,0.327910418301259,0.5,1.18005011407827,1,1.3,72.9,0.559322033898305,0.0736689815317899,0.121195811740949,0.580561604097193,0.241983863738295,0.392857142857143,1.46797142829562,1,0.230769230769231,4.8,79.9,0.25,0.11740747910907,0.509254128440998
2025,Sam Houston,Conference USA,0.0387458111966585,0.364963503649635,1.38185549074301,0.636363636363636,3.1,70.5,0.445783132530121,-0.0307540155577839,0.0631084613748016,0.0544705131123219,0.221827101786335,0.443661971830986,1.39785652810669,0.625,0.227272727272727,5.30769230769231,72.9,0.242,-0.0888085909939653,0.508916956194681
2025,San Diego State,Mountain West,0.227632887288179,0.428571428571429,1.19275243252489,0.733333333333333,5.125,64.4,0.461538461538462,0.337060634269257,0.270328371938459,0.150781014917676,-0.226091630751349,0.15625,0.987241169939462,0.571428571428571,0.21875,0,76.5,,-0.00543751483253751,-0.44674574667016
2025,San José State,Mountain West,0.0921364523976194,0.382352941176471,1.27516103216921,0.4,1.75,75.2,0.456521739130435,0.0562547201887565,-0.0572126177120377,0.296539590090394,0.125143931814555,0.4375,0.89468791139033,0.6,0.176470588235294,2.66666666666667,66.5,0.097,0.0292491994208383,0.501346343512981
2025,SMU,ACC,0.209996610839466,0.507936507936508,1.06149093170349,0.5,5.25,71.6,0.613636363636364,0.221044434393783,0.164736788138442,0.425381821070965,-0.165955132901762,0.346153846153846,1.08030582054358,0.5,0.303030303030303,1,69.4,0.205,0.022411413845623,-0.304090600516512
2025,South Alabama,Sun Belt,0.345424058204417,0.535714285714286,1.02923121095624,1,4.75,61.5,0.577777777777778,0.833956651777939,0.179770462667263,0.759558047047301,0.16393555239906,0.397058823529412,1.28186872983117,0.571428571428571,0.3,5.25,77.4,0.351,0.131388782821606,0.210430937509709
2025,South Carolina,SEC,0.163138871732357,0.357142857142857,1.71833784295571,1,3.33333333333333,77.4,0.419354838709677,0.349676001109998,0.0575911913039025,0.426291569584376,-0.0144873425438272,0.361111111111111,1.09190780605217,0.625,0.2,1.2,80.1,,0.00271956564420275,-0.0307641475865582
2025,Southern Miss,Sun Belt,0.0475165000993792,0.319444444444444,1.45441372702779,0.6,4.25,70.2,0.318181818181818,0.384036498303202,-0.0217528552615423,0.137379188279092,0.313816381682342,0.453333333333333,1.2065991805573,0.4,0.15,5.4,71.8,0.194,0.336854003827717,0.309614290897509
2025,South Florida,American Athletic,0.319242163816409,0.339622641509434,1.90035195672796,0.5,5.4,68.3,0.387096774193548,0.535896579002698,0.358025700794995,0.284614005799814,-0.032919554824772,0.418604651162791,0.850951498621226,0.75,0.315789473684211,1,73.3,0.058,-0.190696282463018,0.0919870212221728
